FittingGlobalId,FittingName,FittingTypeName,継手種類,階,系統コード,系統名称,IFC系統分類,FittingPortCount,PortIndex,PortGlobalId,PortName,PortDescription,FlowDirection,PortPredefinedType,PortSystemType,PortDiameterProperties,PortDiameterCandidate,PortProperties,ConnectedPortGlobalId,ConnectedPortName,ConnectedPortFlowDirection,ConnectedPortDiameterProperties,ConnectedPortDiameterCandidate,ConnectedElementClass,ConnectedElementGlobalId,ConnectedElementName,ConnectedElementTypeName,ConnectedElementDiameterProperties,ConnectedElementDiameterCandidate,DiameterCandidate,DiameterSource,Warning
2$VmGHsp16yBfz_qEe9DVZ,041_レジューサ:Common:40690082,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,2,1,2ngDErYDKBI9EaOCcm5L1L,Port_40690082_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,3c$$DGypYEZEFrujugbVpC,Port_40689797_1,SOURCEANDSINK,,,IfcPipeSegment,2$VmGHsp16yBfz_qEe9DR4,配管タイプ:00_供給:40689797,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=52.900000000000006 | Pset_PipeSegmentTypeCommon.OuterDiameter=60.5,60.5,60.5,ConnectedElement,
2$VmGHsp16yBfz_qEe9DVZ,041_レジューサ:Common:40690082,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,2,2,3J5LA1CSoraRLsDBn0JmW8,Port_40690082_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,0yil5w0TOU6QZwLBc$4E3z,Port_40690018_0,SOURCEANDSINK,,,IfcPipeSegment,2$VmGHsp16yBfz_qEe9DSZ,配管タイプ:00_供給:40690018,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=67.9 | Pset_PipeSegmentTypeCommon.OuterDiameter=76.3,76.3,76.3,ConnectedElement,
2$VmGHsp16yBfz_qEe9DVd,041_レジューサ:Common:40690086,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,2,1,0iNNGjLLziVQww5XET2n$K,Port_40690086_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,1NvrcG9O2PuEeixEASjEig,Port_40689839_1,SOURCEANDSINK,,,IfcPipeSegment,2$VmGHsp16yBfz_qEe9DRk,配管タイプ:00_供給:40689839,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=52.900000000000006 | Pset_PipeSegmentTypeCommon.OuterDiameter=60.5,60.5,60.5,ConnectedElement,
2$VmGHsp16yBfz_qEe9DVd,041_レジューサ:Common:40690086,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,2,2,1YCKAm2r1vVc8ADCdn4p$1,Port_40690086_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,35UN5BwXcpyUJPmwD_Z0uu,Port_40690056_0,SOURCEANDSINK,,,IfcPipeSegment,2$VmGHsp16yBfz_qEe9DV9,配管タイプ:00_供給:40690056,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=67.9 | Pset_PipeSegmentTypeCommon.OuterDiameter=76.3,76.3,76.3,ConnectedElement,
1ac9r3PDbDQOpvhhva4cZ3,041_レジューサ:Common:40785008,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,2,1,2REPYoZFjv7Teeo2mNdlIR,Port_40785008_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,1Gbpd2znBgjbCduEv3jH5V,Port_40690018_1,SOURCEANDSINK,,,IfcPipeSegment,2$VmGHsp16yBfz_qEe9DSZ,配管タイプ:00_供給:40690018,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=67.9 | Pset_PipeSegmentTypeCommon.OuterDiameter=76.3,76.3,76.3,ConnectedElement,
1ac9r3PDbDQOpvhhva4cZ3,041_レジューサ:Common:40785008,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,2,2,0hlJRI96lZbkXXuhXsROgd,Port_40785008_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,33hkngtI0I16Jqe774oEEr,Port_40784919_0,SOURCEANDSINK,,,IfcPipeSegment,1ac9r3PDbDQOpvhhva4cYa,配管タイプ:00_供給:40784919,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=80.70000000000002 | Pset_PipeSegmentTypeCommon.OuterDiameter=89.1,89.1,89.1,ConnectedElement,
1ac9r3PDbDQOpvhhva4cZ1,041_レジューサ:Common:40785010,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,2,1,3bQfnK1LqtiDu7N4n9vyJu,Port_40785010_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,1FWGTpWFTpA7cG2GVo44pp,Port_40690056_1,SOURCEANDSINK,,,IfcPipeSegment,2$VmGHsp16yBfz_qEe9DV9,配管タイプ:00_供給:40690056,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=67.9 | Pset_PipeSegmentTypeCommon.OuterDiameter=76.3,76.3,76.3,ConnectedElement,
1ac9r3PDbDQOpvhhva4cZ1,041_レジューサ:Common:40785010,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,2,2,1y802xeh9dIOI_ECFMKM4j,Port_40785010_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,0QY4Cl7BXVzvBJd7IPERg5,Port_40784998_0,SOURCEANDSINK,,,IfcPipeSegment,1ac9r3PDbDQOpvhhva4cZL,配管タイプ:00_供給:40784998,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=80.70000000000002 | Pset_PipeSegmentTypeCommon.OuterDiameter=89.1,89.1,89.1,ConnectedElement,
1ac9r3PDbDQOpvhhva4cWw,011_エルボ:Common:40785033,011_エルボ:Common,エルボ,5FL,CH 7,M031_CH冷温水(往),HEATING,2,1,2pjQrCcejvRqp800Xabfpx,Port_40785033_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
1ac9r3PDbDQOpvhhva4cWw,011_エルボ:Common:40785033,011_エルボ:Common,エルボ,5FL,CH 7,M031_CH冷温水(往),HEATING,2,2,2zVxqyMKWV8gSHtvHJ30dT,Port_40785033_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,208sQW_sobEs2l2YWtj$HB,Port_41582430_0,SOURCEANDSINK,,,IfcPipeSegment,2s0miY2LL7VPzA9lwxWjmA,配管タイプ:00_供給:41582430,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=105.3 | Pset_PipeSegmentTypeCommon.OuterDiameter=114.30000000000001,114.30000000000001,114.30000000000001,ConnectedElement,
1ac9r3PDbDQOpvhhva4cW_,041_レジューサ:Common:40785037,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,2,1,2ios2VBf$L1TMM3e3hoWhY,Port_40785037_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,1V6EvjBNNFseCv4Nk9EjNN,Port_40784919_1,SOURCEANDSINK,,,IfcPipeSegment,1ac9r3PDbDQOpvhhva4cYa,配管タイプ:00_供給:40784919,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=80.70000000000002 | Pset_PipeSegmentTypeCommon.OuterDiameter=89.1,89.1,89.1,ConnectedElement,
1ac9r3PDbDQOpvhhva4cW_,041_レジューサ:Common:40785037,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,2,2,15RbJZFSLvP_ByElvNeEtQ,Port_40785037_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
1ac9r3PDbDQOpvhhva4cWi,011_エルボ:Common:40785055,011_エルボ:Common,エルボ,5FL,CHR 6,M032_CHR冷温水(還),HEATING,2,1,12rww0B3V9$gcLUd$EOiuY,Port_40785055_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
1ac9r3PDbDQOpvhhva4cWi,011_エルボ:Common:40785055,011_エルボ:Common,エルボ,5FL,CHR 6,M032_CHR冷温水(還),HEATING,2,2,0rmzDJ$4ulsOQp6rLbm5Fu,Port_40785055_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,1y95misH3PgkTdnuVjb2y8,Port_41582434_0,SOURCEANDSINK,,,IfcPipeSegment,2s0miY2LL7VPzA9lwxWjms,配管タイプ:00_供給:41582434,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=105.3 | Pset_PipeSegmentTypeCommon.OuterDiameter=114.30000000000001,114.30000000000001,114.30000000000001,ConnectedElement,
1ac9r3PDbDQOpvhhva4cWG,041_レジューサ:Common:40785059,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,2,1,2ZUtSyChJL$JsZ_zN8Qsj9,Port_40785059_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,0yKQyxNCJIEryuxEZvmOg0,Port_40784998_1,SOURCEANDSINK,,,IfcPipeSegment,1ac9r3PDbDQOpvhhva4cZL,配管タイプ:00_供給:40784998,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=80.70000000000002 | Pset_PipeSegmentTypeCommon.OuterDiameter=89.1,89.1,89.1,ConnectedElement,
1ac9r3PDbDQOpvhhva4cWG,041_レジューサ:Common:40785059,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,2,2,2r6JESED_PcU$ca6USGslM,Port_40785059_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
1Xr6N_BwzCmBJNBoxXVf1g,012_エルボ_冷媒管:Common:40791054,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 3,M091_R冷媒2way,HEATING,2,1,130Dq34OpPBYj6K0LaX14S,Port_40791054_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,1nYa$Bwy4QwVqbXJnbHIw4,Port_43400781_1,SOURCEANDSINK,,,IfcPipeSegment,1UvjyJsubCqvxfV7N9tGKo,配管タイプ:00_冷媒:43400781,配管タイプ:00_冷媒,Pset_PipeSegmentTypeCommon.InnerDiameter=20.0 | Pset_PipeSegmentTypeCommon.OuterDiameter=100.0,100.0,100.0,ConnectedElement,
1Xr6N_BwzCmBJNBoxXVf1g,012_エルボ_冷媒管:Common:40791054,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 3,M091_R冷媒2way,HEATING,2,2,3Ow8wYeEQPx6qnOFMZEY8H,Port_40791054_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
2_WJo6XP5ApQ6TRZ01Q7tT,012_エルボ_冷媒管:Common:40792780,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 2,M091_R冷媒2way,HEATING,2,1,2AZ9brmTHxM5TTXn7XHhsi,Port_40792780_2,Flow,SOURCEANDSINK,PIPE,NOTDEFINED,,,,1hzN_G0bBc4DOr6$XrGzI5,Port_40789108_1,SOURCEANDSINK,,,IfcPipeSegment,1Xr6N_BwzCmBJNBoxXVfWG,配管タイプ:00_冷媒:40789108,配管タイプ:00_冷媒,Pset_PipeSegmentTypeCommon.InnerDiameter=20.0 | Pset_PipeSegmentTypeCommon.OuterDiameter=100.0,100.0,100.0,ConnectedElement,
2_WJo6XP5ApQ6TRZ01Q7tT,012_エルボ_冷媒管:Common:40792780,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 2,M091_R冷媒2way,HEATING,2,2,0o0v_3ytAebYT2CVS2nq2H,Port_40792780_1,Flow,SOURCEANDSINK,PIPE,NOTDEFINED,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
2_WJo6XP5ApQ6TRZ01Q7Z5,012_エルボ_冷媒管:Common:40794068,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 1,M091_R冷媒2way,HEATING,2,1,2pd49_P3JDXYBbEG6idEL2,Port_40794068_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
2_WJo6XP5ApQ6TRZ01Q7Z5,012_エルボ_冷媒管:Common:40794068,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 1,M091_R冷媒2way,HEATING,2,2,1a2cInjiA85tCFhAqAn8by,Port_40794068_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,12Xs3k$kcEupfzYAIZUzht,Port_43400770_1,SOURCEANDSINK,,,IfcPipeSegment,1UvjyJsubCqvxfV7N9tGKz,配管タイプ:00_冷媒:43400770,配管タイプ:00_冷媒,Pset_PipeSegmentTypeCommon.InnerDiameter=20.0 | Pset_PipeSegmentTypeCommon.OuterDiameter=100.0,100.0,100.0,ConnectedElement,
0cXTiyCGHAUA9HHDpgCanU,012_エルボ_冷媒管:Common:40799307,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 4,M091_R冷媒2way,HEATING,2,1,3ob2dCP5RWRBAi9vHVgusV,Port_40799307_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
0cXTiyCGHAUA9HHDpgCanU,012_エルボ_冷媒管:Common:40799307,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 4,M091_R冷媒2way,HEATING,2,2,2$epeKdsLMMCkjJ0qpiWRa,Port_40799307_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,3VK712LDOOQk$rZ2qI1Gp6,Port_43400805_1,SOURCEANDSINK,,,IfcPipeSegment,1UvjyJsubCqvxfV7N9tGKQ,配管タイプ:00_冷媒:43400805,配管タイプ:00_冷媒,Pset_PipeSegmentTypeCommon.InnerDiameter=20.0 | Pset_PipeSegmentTypeCommon.OuterDiameter=100.0,100.0,100.0,ConnectedElement,
1YmQEFw6r2CwltcTVryyK7,011_エルボ:Common:40813123,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,2,1,3MpeK1ydvQkdOuYJqFSURF,Port_40813123_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,0$b_i$AB12s$eUqHQPUnF4,Port_40797074_0,SOURCEANDSINK,,,IfcPipeSegment,0cXTiyCGHAUA9HHDpgCaE7,配管タイプ:00_供給:40797074,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyK7,011_エルボ:Common:40813123,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,2,2,1PZFPY72G6PyQtixJRdEZY,Port_40813123_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,3wd0MZefFpg4Zmqks4rEDo,Port_40813021_1,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyQP,配管タイプ:00_供給:40813021,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyNK,011_エルボ:Common:40813200,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,1,3BqIzVU7RjMR2OHZsNYUSC,Port_40813200_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,11xbPFh3VbbsrX6xb7lAMn,Port_40813198_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyNA,配管タイプ:00_供給:40813198,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyNK,011_エルボ:Common:40813200,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,2,2ngpRYeEqa_m93hxO9C9RL,Port_40813200_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,1EigwO4wwMiPx6yksgFIiJ,Port_40813245_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyNv,配管タイプ:00_供給:40813245,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyNM,011_エルボ:Common:40813202,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,1,3kSdk5lmjXCjKTG9X_JmgG,Port_40813202_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,24ywK2Sv2JX2EIcp_ecyvL,Port_40813194_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyNE,配管タイプ:00_供給:40813194,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyNM,011_エルボ:Common:40813202,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,2,1TnUPtcNxhAo8a$HDMMCCq,Port_40813202_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,3Y2GbEvM_HLBz_9pd7t3GC,Port_40813198_1,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyNA,配管タイプ:00_供給:40813198,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyIR,011_エルボ:Common:40813535,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,2,1,0DAjnoBipUAiZHzCrPsQdw,Port_40813535_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,3rvnNY_OmWuWBcFxz1xpTY,Port_40812320_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryxXa,配管タイプ:00_供給:40812320,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyIR,011_エルボ:Common:40813535,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,2,2,08vzaEv8pmBlQHXDsTYzgR,Port_40813535_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,09Xv4Ye$K_tjVAiVIRX$Fo,Port_40906488_0,SOURCEANDSINK,,,IfcPipeSegment,1$rgajjQrCDg9Lz3xmtQRL,配管タイプ:00_供給:40906488,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy93,011_エルボ:Common:40813831,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,2,1,3kFI8V3cqy$FJkuheauUMx,Port_40813831_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,1W6PXOeBXQiYesJiyXDBnL,Port_40813586_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyDM,配管タイプ:00_供給:40813586,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy93,011_エルボ:Common:40813831,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,2,2,2d7BQXUqfXwy0FP$N6JPhK,Port_40813831_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,2hRfJmn7X3UMOX0fPq5rbk,Port_40813743_1,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyFh,配管タイプ:00_供給:40813743,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy9a,011_エルボ:Common:40813856,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,1,0XLPX9ITd7rJtUheiFSBO0,Port_40813856_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,2j_E8xIBbWj$2wal8KwgDt,Port_40813261_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyM9,配管タイプ:00_供給:40813261,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy9a,011_エルボ:Common:40813856,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,2,05mSOoNBJnp6ycNilwkWmg,Port_40813856_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,17MlSlggnQ$ug3ANnFwZh$,Port_40813303_1,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyMp,配管タイプ:00_供給:40813303,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
