GlobalId,Name,ObjectType,PredefinedType,TypeName,継手種類,階,系統コード,系統名称,IFC系統分類,系統所属数,Material,PortCount,接続径1_mm,接続径2_mm,接続径3_mm,径情報完全性,径取得元,数量_個,Warning
2$VmGHsp16yBfz_qEe9DVZ,041_レジューサ:Common:40690082,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,1,配管－冷温水（往）（還）（膨張）,2,60.5,76.3,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
2$VmGHsp16yBfz_qEe9DVd,041_レジューサ:Common:40690086,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,1,配管－冷温水（往）（還）（膨張）,2,60.5,76.3,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1ac9r3PDbDQOpvhhva4cZ3,041_レジューサ:Common:40785008,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,1,配管－冷温水（往）（還）（膨張）,2,76.3,89.1,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1ac9r3PDbDQOpvhhva4cZ1,041_レジューサ:Common:40785010,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,1,配管－冷温水（往）（還）（膨張）,2,76.3,89.1,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1ac9r3PDbDQOpvhhva4cWw,011_エルボ:Common:40785033,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,CH 7,M031_CH冷温水(往),HEATING,1,配管－冷温水（往）（還）（膨張）,2,,114.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1ac9r3PDbDQOpvhhva4cW_,041_レジューサ:Common:40785037,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,5FL,CH 3,M031_CH冷温水(往),HEATING,1,配管－冷温水（往）（還）（膨張）,2,89.1,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1ac9r3PDbDQOpvhhva4cWi,011_エルボ:Common:40785055,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,CHR 6,M032_CHR冷温水(還),HEATING,1,配管－冷温水（往）（還）（膨張）,2,,114.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1ac9r3PDbDQOpvhhva4cWG,041_レジューサ:Common:40785059,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,5FL,CHR 2,M032_CHR冷温水(還),HEATING,1,配管－冷温水（往）（還）（膨張）,2,89.1,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1Xr6N_BwzCmBJNBoxXVf1g,012_エルボ_冷媒管:Common:40791054,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 3,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,100.0,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2_WJo6XP5ApQ6TRZ01Q7tT,012_エルボ_冷媒管:Common:40792780,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 2,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,100.0,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2_WJo6XP5ApQ6TRZ01Q7Z5,012_エルボ_冷媒管:Common:40794068,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 1,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,,100.0,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0cXTiyCGHAUA9HHDpgCanU,012_エルボ_冷媒管:Common:40799307,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 4,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,,100.0,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1YmQEFw6r2CwltcTVryyK7,011_エルボ:Common:40813123,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1YmQEFw6r2CwltcTVryyNK,011_エルボ:Common:40813200,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
