GlobalId,Name,階,配管種別,系統コード,系統名称,IFC系統分類,系統所属数,外径,内径,長さ,方向区分,軸DX,軸DY,軸DZ,水平面角度_deg,勾配,Z最低,Z最高,高低差
2$VmGHsp16yBfz_qEe9DR4,配管タイプ:00_供給:40689797,5FL,配管タイプ:00_供給,CH 3,M031_CH冷温水(往),HEATING,1,60.5,52.900000000000006,4227.000000000001,立管,0.0,0.0,1.0,90.0,,3.4579999999999984,7.685,4.227000000000001
2$VmGHsp16yBfz_qEe9DRk,配管タイプ:00_供給:40689839,5FL,配管タイプ:00_供給,CHR 2,M032_CHR冷温水(還),HEATING,1,60.5,52.900000000000006,4227.000000000001,立管,0.0,0.0,1.0,90.0,,3.4579999999999984,7.685,4.227000000000001
2$VmGHsp16yBfz_qEe9DSZ,配管タイプ:00_供給:40690018,5FL,配管タイプ:00_供給,CH 3,M031_CH冷温水(往),HEATING,1,76.3,67.9,3828.0000000000027,立管,0.0,0.0,1.0,90.0,,7.749999999999998,11.578000000000001,3.828000000000003
2$VmGHsp16yBfz_qEe9DV9,配管タイプ:00_供給:40690056,5FL,配管タイプ:00_供給,CHR 2,M032_CHR冷温水(還),HEATING,1,76.3,67.9,3828.0000000000027,立管,0.0,0.0,1.0,90.0,,7.749999999999998,11.578000000000001,3.828000000000003
30ZEx8XDvFIQj6CYRYvQiL,配管タイプ:00_排水:40700254,PIT,配管タイプ:00_排水,P031_V通気 2,P031_V通気,VENT,1,76.3,67.9,10821.000000000002,立管,0.0,0.0,1.0,90.0,,6.269,17.090000000000003,10.821000000000003
30ZEx8XDvFIQj6CYRYvQig,配管タイプ:00_排水:40700257,PIT,配管タイプ:00_排水,P031_V通気 2,P031_V通気,VENT,1,76.3,67.9,2351.241789365566,立管,0.0,0.0,1.0,90.0,,14.87175821063444,17.223000000000006,2.3512417893655666
30ZEx8XDvFIQj6CYRYvQil,配管タイプ:00_排水:40700260,PIT,配管タイプ:00_排水,P031_V通気 2,P031_V通気,VENT,1,60.5,52.900000000000006,10990.000000000005,立管,0.0,0.0,1.0,90.0,,6.252000000000001,17.242000000000004,10.990000000000004
30ZEx8XDvFIQj6CYRYvQiX,配管タイプ:00_供給:40700266,PIT,配管タイプ:00_供給,X 2,P051_X屋内消火栓,FIREPROTECTION,1,34.0,27.6,21000.0,立管,0.0,0.0,1.0,90.0,,-1.75,19.25,21.0
03uRyGLF19twTrlIQhE1a0,配管タイプ:00_供給:40769045,4FL,配管タイプ:00_供給,CH 7,M031_CH冷温水(往),HEATING,1,76.3,67.9,109.0823350460806,水平管,1.0,0.0,0.0,0.0,0.0,15.661850000000001,15.738150000000001,0.07629999999999981
03uRyGLF19twTrlIQhE1aA,配管タイプ:00_供給:40769055,4FL,配管タイプ:00_供給,CHR 6,M032_CHR冷温水(還),HEATING,1,76.3,67.9,121.49128589383203,水平管,1.0,0.0,0.0,0.0,0.0,15.661850000000001,15.738150000000001,0.07629999999999981
1ac9r3PDbDQOpvhhva4cYa,配管タイプ:00_供給:40784919,5FL,配管タイプ:00_供給,CH 3,M031_CH冷温水(往),HEATING,1,89.1,80.70000000000002,3815.0000000000014,立管,0.0,0.0,1.0,90.0,,11.649999999999999,15.465,3.8150000000000013
1ac9r3PDbDQOpvhhva4cZL,配管タイプ:00_供給:40784998,5FL,配管タイプ:00_供給,CHR 2,M032_CHR冷温水(還),HEATING,1,89.1,80.70000000000002,3815.0000000000014,立管,0.0,0.0,1.0,90.0,,11.649999999999999,15.465,3.8150000000000013
