階,系統コード,系統名称,IFC系統分類,外径_mm,方向区分,本数,長さ_m
1FL,O 2,E_O油(往),USERDEFINED,21.7,水平管,1,6.441
1FL,O 2,E_O油(往),USERDEFINED,21.7,立管,1,3.773
1FL,CH 5,M031_CH冷温水(往),HEATING,60.5,水平管,1,0.122
1FL,CHR 5,M032_CHR冷温水(還),HEATING,60.5,水平管,1,0.134
1FL,R 22,M091_R冷媒2way,HEATING,100.0,水平管,6,9.785
1FL,R 23,M091_R冷媒2way,HEATING,100.0,水平管,5,12.961
1FL,R 24,M091_R冷媒2way,HEATING,100.0,水平管,1,0.287
1FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,27.2,水平管,1,0.146
1FL,－ 27,M112_W加湿給水,DOMESTICCOLDWATER,42.7,水平管,3,3.346
1FL,－ 28,M112_W加湿給水,DOMESTICCOLDWATER,42.7,水平管,1,0.285
1FL,－ 29,M112_W加湿給水,DOMESTICCOLDWATER,42.7,水平管,2,4.152
1FL,D 10,M121_Dドレン,SEWAGE,60.5,立管,1,0.915
1FL,D 11,M121_Dドレン,SEWAGE,60.5,立管,1,0.83
1FL,D 24,M121_Dドレン,SEWAGE,60.5,水平管,1,0.444
1FL,D 24,M121_Dドレン,SEWAGE,60.5,立管,1,0.493
1FL,D 24,M121_Dドレン,SEWAGE,76.3,水平管,1,4.009
1FL,D 36,M121_Dドレン,SEWAGE,34.0,水平管,1,0.245
1FL,D 42,M121_Dドレン,SEWAGE,34.0,水平管,1,0.245
1FL,D 7,M121_Dドレン,SEWAGE,60.5,立管,1,0.83
1FL,－ 2,P011_W上水,DOMESTICCOLDWATER,60.5,立管,1,0.956
1FL,－ 22,P011_W上水,DOMESTICCOLDWATER,60.5,水平管,2,7.275
1FL,－ 243,P011_W上水,DOMESTICCOLDWATER,48.6,水平管,1,1.54
1FL,－ 30,P011_W上水,DOMESTICCOLDWATER,60.5,水平管,3,16.919
1FL,) 155,P021_D汚水,SEWAGE,114.3,水平管,1,1.435
1FL,) 156,P021_D汚水,SEWAGE,114.3,水平管,1,1.435
1FL,P022_D雑排水 149,P022_D雑排水,SEWAGE,114.3,水平管,1,1.435
1FL,P022_D雑排水 152,P022_D雑排水,SEWAGE,76.3,水平管,1,1.435
1FL,PU 3,P024_Dポンプアップ排水,SEWAGE,76.3,水平管,2,10.133
1FL,PU 4,P024_Dポンプアップ排水,SEWAGE,76.3,水平管,2,9.004
1FL,PU 5,P024_Dポンプアップ排水,SEWAGE,76.3,水平管,1,0.332
1FL,PU 6,P024_Dポンプアップ排水,SEWAGE,76.3,水平管,1,0.332
1FL,PU 7,P024_Dポンプアップ排水,SEWAGE,76.3,水平管,1,0.332
1FL,PU 8,P024_Dポンプアップ排水,SEWAGE,76.3,水平管,1,0.332
1FL,X 1,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,5,13.388
1FL,X 1,P051_X屋内消火栓,FIREPROTECTION,76.3,立管,3,16.631
1FL,X 7,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,1,0.381
1FL,X 8,P051_X屋内消火栓,FIREPROTECTION,76.3,水平管,7,23.808
2FL,CH 1,M031_CH冷温水(往),HEATING,60.5,水平管,1,0.09
